#vert	id_smtlp	id_smtmflp	id_pf2lp	id_smtIP
2/12	2356.356064	2356.356064	2356.356064	3174.52
3/13 	5055.43046	5165.185658	5165.954282	6631.98
4/14	8657.54655	9171.618802	9177.882482	12274.3
5/15	11588.596922	12675.884026	12691.9606	16688.9
6/16	13489.76081	14458.129688	14477.18945	18744.86
7/17	16796.700278	18062.0363	18100.859158	22722.44

