#vert	id_smtlp	id_smtmflp	id_pf2lp	id_smtIP
10/12	0		7.62		13.48		3.8
10/13 	0.34		12.04		20.92		6.48
10/14	0.92		16.44		31.68		12.02
10/15	1.24		23.74		46.84		21.68
10/16	2.14		33.16		65.38		39.58
10/17	2.84		48.72		91.1		85.82
10/18	3.9		73.54		124.56		145.12
10/19	4.76		103.8		159.56		217.64
10/20	6.42		161.4		220.24		284.08

