#vert	LP(SMT-X1)	LP(SMT-F1)	LP(SMT-X1-VI)	LP(SMT-F1-VI)	SMT-F1	
2/12	0		0		0		0		0
3/13 	0		0		0		0		0.1
4/14	0		0		0		1		0.96
5/15	0		0		0		0		3.3
6/16	0.06		0.06		0		0.04		7.44
7/17	0.58		0.88		0.7		0.82		24.32
8/18	1.84		1.98		2.04		2.38		58.08
9/19	2.7		2.84		2.88		3.48		82.12
10/20	4		141.98		200.52		232.22		144.76

